MSFT,SBUX,WBD,TMO,KO,IBKR,NOC,SLB,NTR,SBAC,PCG,Dates,date
91.848152,51.445492,22.959999,206.702576,35.899712,76.237213,296.248291,61.499329,44.066654,153.646759,42.950001,2018-05-15,2018-05-15
92.085121,51.908722,23.690001,208.274429,35.753422,75.819984,297.349976,62.796345,44.083717,153.724716,42.580002,2018-05-16,2018-05-16
91.165672,51.954144,23.02,208.610565,36.3988,75.732666,300.460968,63.930103,43.921757,153.490814,42.220001,2018-05-17,2018-05-17
91.336311,51.917805,22.57,212.49588,36.295536,75.296005,304.62738,63.80986,43.845051,153.66626,42.779999,2018-05-18,2018-05-18
92.511658,52.081299,22.629999,214.265533,36.493443,76.664146,306.793854,64.445457,44.416126,155.693192,43.209999,2018-05-21,2018-05-21
92.416885,51.736145,23.16,215.382706,36.355766,76.392479,300.442444,63.328865,43.52116,153.276413,43.630001,2018-05-22,2018-05-22
93.516396,52.217545,22.57,214.057922,36.484844,76.188698,303.895905,63.088356,43.793907,153.919632,43.849998,2018-05-23,2018-05-23
93.184654,52.390118,22.48,213.51416,36.416008,76.03344,308.136353,61.172958,43.589344,152.79895,43.830002,2018-05-24,2018-05-24
93.232018,52.608093,22.34,211.220551,36.484844,75.470665,307.321533,58.922543,43.214306,153.880615,44.66,2018-05-25,2018-05-25
92.900276,51.981384,21.9,206.593796,36.725777,71.870811,302.275696,58.467331,42.677326,154.650452,42.34,2018-05-29,2018-05-29
93.791275,52.208454,21.4,208.551254,37.112999,72.307457,306.988281,59.67841,43.555256,154.913574,43.09,2018-05-30,2018-05-30
93.687004,51.47274,21.09,205.901749,37.001137,70.714012,302.988586,58.98267,43.1717,154.036575,43.330002,2018-05-31,2018-05-31
95.535362,51.69072,20.950001,209.421265,37.104397,70.286514,306.649872,59.23177,43.26545,154.436066,42.27,2018-06-01,2018-06-01
96.369453,51.83606,21.09,211.734634,37.422779,68.226685,309.270447,59.32626,42.958599,155.819855,42,2018-06-04,2018-06-04
96.862366,50.573536,21.74,212.32782,37.095798,68.421005,305.906464,59.231087,43.120548,155.595688,41.98,2018-06-05,2018-06-05
97.146713,51.92688,22.360001,215.788025,37.396961,68.391846,311.509918,59.603123,44.893444,153.812439,41.150002,2018-06-06,2018-06-06
95.620659,51.899635,22.77,213.998611,37.379742,68.187813,314.158447,60.2174,44.748543,153.539581,41.669998,2018-06-07,2018-06-07
96.331566,51.409157,23.02,214.552246,37.818604,69.35376,314.678802,60.070324,44.893444,153.305679,41.450001,2018-06-08,2018-06-08
95.781799,51.300163,23.889999,214.868591,37.973492,69.081718,310.710815,60.451012,44.944584,154.056046,39.759998,2018-06-11,2018-06-11
96.028236,51.300163,24.02,215.471695,38.214439,70.014473,306.055145,59.352207,44.910484,156.648163,39.290001,2018-06-12,2018-06-12
95.592224,51.054924,24.41,213.889847,38.016514,69.071999,304.633423,58.807129,45.643509,152.379898,39.380001,2018-06-13,2018-06-13
96.1325,51.790649,25.5,214.255951,37.834206,68.158684,299.745453,59.118603,45.796936,152.993851,39.889999,2018-06-14,2018-06-14
94.90976,51.872395,27.17,213.513885,38.303001,67.672859,298.7789,57.820824,45.643509,152.185013,40.200001,2018-06-15,2018-06-15
95.6017,51.972305,27.209999,210.56546,37.808151,66.701256,299.615326,58.00251,45.583847,153.822189,39.790001,2018-06-18,2018-06-18
95.6017,52.163036,27.549999,207.706085,37.851563,65.885101,291.642151,56.843147,44.978676,154.40686,39.889999,2018-06-19,2018-06-19
96.559036,47.430855,28.209999,206.588028,37.556396,65.049492,290.006622,56.713367,44.586601,154.74794,40,2018-06-20,2018-06-20
95.867096,45.977592,27.940001,204.351974,37.40881,64.554008,291.279785,56.055824,44.961636,156.472794,40.529999,2018-06-21,2018-06-21
95.175156,46.54073,28.120001,206.538589,37.547714,64.048759,289.988007,57.604507,45.762856,157.924728,42.919998,2018-06-22,2018-06-22
93.26046,46.013924,28.1,202.759018,37.834206,62.85368,291.53064,56.60955,45.992985,158.373032,42.290001,2018-06-25,2018-06-25
93.914505,45.759605,27.940001,202.986603,37.617161,63.145149,287.460449,57.12001,46.547005,160.000397,42.619999,2018-06-26,2018-06-26
92.454796,45.269127,28.190001,201.225464,37.391441,62.581615,284.904968,57.80352,45.796936,160.058868,42.470001,2018-06-27,2018-06-27
93.487961,44.088345,28.48,203.431824,37.738705,62.960552,285.954987,57.976547,45.839874,160.721481,42.709999,2018-06-28,2018-06-28
93.469025,44.369919,27.5,204.945633,38.077278,62.581615,285.936493,57.993862,46.698627,160.906662,42.560001,2018-06-29,2018-06-29
94.796013,44.560658,27.42,203.392227,37.981785,63.077137,287.023682,56.419201,46.174793,160.48761,43.740002,2018-07-02,2018-07-02
93.886055,44.297256,27.360001,203.699005,38.19014,61.571144,286.995819,56.964268,46.647102,158.567886,43.970001,2018-07-03,2018-07-03
94.559052,44.151924,27.639999,205.153397,38.771812,59.064373,286.44754,57.474743,45.934334,161.793411,44.18,2018-07-05,2018-07-05
95.886047,44.488003,27.870001,205.00499,38.75444,59.064373,285.620514,57.993862,46.380886,161.238022,45.029999,2018-07-06,2018-07-06
96.540085,45.323631,28.299999,209.585938,38.546085,60.298328,291.512054,59.127258,46.054562,158.889496,45.09,2018-07-09,2018-07-09
