GDAXI.Open,GDAXI.High,GDAXI.Low,GDAXI.Close,GDAXI.Volume,GDAXI.Adjusted,FTSE.Open,FTSE.High,FTSE.Low,FTSE.Close,FTSE.Volume,FTSE.Adjusted,FCHI.Open,FCHI.High,FCHI.Low,FCHI.Close,FCHI.Volume,FCHI.Adjusted,IBEX.Open,IBEX.High,IBEX.Low,IBEX.Close,IBEX.Volume,IBEX.Adjusted,STOXX50E.Open,STOXX50E.High,STOXX50E.Low,STOXX50E.Close,STOXX50E.Volume,STOXX50E.Adjusted
13233.709961,13640.05957,12948.169922,12981.969727,1737147300,12981.969727,7542.399902,7689.700195,7275,7286,13224760700,7286,6016.609863,6109.810059,5799.040039,5806.339844,1644181800,5806.339844,9639.099609,9709.900391,9357.799805,9367.900391,3315811500,9367.900391,3754.23999,3813.800049,3639.439941,3640.909912,715810700,3640.909912
13033.169922,13795.240234,11724.120117,11890.349609,2231747600,11890.349609,7286,7547.700195,6460.100098,6580.600098,16563821000,6580.600098,5822.040039,6111.410156,5229.560059,5309.899902,2250355600,5309.899902,9404.400391,10100.200195,8582.700195,8723.200195,4255071000,8723.200195,3646.860107,3867.280029,3283.179932,3329.48999,1011963900,3329.48999
12030.269531,12272.990234,8255.650391,9935.839844,4826748300,9935.839844,6580.600098,6856.299805,4898.799805,5672,37413728800,5672,5416.02002,5509.279785,3632.060059,4396.120117,4755485900,4396.120117,8910.200195,9014.299805,5814.5,6785.399902,8461280200,6785.399902,3355.330078,3448.23999,2302.840088,2786.899902,2073063900,2786.899902
9610.669922,11235.570313,9337.019531,10861.639648,2507299800,10861.639648,5672,6151.600098,5395.100098,5901.200195,23791430900,5901.200195,4259.939941,4719.740234,4142.279785,4572.180176,2246106400,4572.180176,6627.299805,7209.700195,6424.5,6922.299805,4461830400,6922.299805,2760.540039,3023.830078,2626.100098,2927.929932,1089113300,2927.929932
10543.360352,11813.139648,10160.889648,11586.849609,2221913600,11586.849609,5901.200195,6234,5661.100098,6076.600098,21094713000,6076.600098,4413.140137,4784.089844,4194.580078,4695.439941,2185653500,4695.439941,6767.700195,7244.5,6421.399902,7096.5,5955083900,7096.5,2927.929932,3102.959961,2708.070068,3050.199951,1057222700,3050.199951
11586.849609,12913.129883,11586.849609,12310.929688,2754888800,12310.929688,6076.600098,6511.799805,5952.399902,6169.700195,22104672700,6169.700195,4776.720215,5213.669922,4691.810059,4935.990234,2765448100,4935.990234,7228.700195,7992.700195,7062.899902,7231.399902,8096492600,7231.399902,3063,3394.899902,3054.110107,3234.070068,1297683900,3234.070068
12391.719727,13313.900391,12095.110352,12313.360352,1712733000,12313.360352,6169.700195,6323.600098,5897.799805,5897.799805,16153869800,5897.799805,4939.799805,5172.97998,4783.689941,4783.689941,1968206500,4783.689941,7245.600098,7654.799805,6877.399902,6877.399902,4957069900,6877.399902,3239.860107,3451.159912,3174.320068,3174.320068,891595900,3174.320068
12374.459961,13221.820313,12365.610352,12945.379883,1260622200,12945.379883,5897.799805,6297.200195,5857.100098,5963.600098,11928004700,5963.600098,4797.060059,5096.529785,4763.600098,4947.220215,1492673300,4947.220215,6867.399902,7321.899902,6788.899902,6969.5,3894889200,6969.5,3177.76001,3377.439941,3173.97998,3272.51001,736317100,3272.51001
13037.200195,13460.459961,12341.580078,12760.730469,1617666600,12760.730469,5963.600098,6123.700195,5771.5,5866.100098,16805999200,5866.100098,4974.419922,5131.390137,4666.259766,4803.439941,2111670300,4803.439941,7038.5,7159.600098,6552.299805,6716.600098,6278361100,6716.600098,3279.110107,3396.02002,3097.669922,3193.610107,942069500,3193.610107
12812.080078,13151.799805,11450.080078,11556.480469,1555195300,11556.480469,5866.100098,6040.5,5525.5,5577.299805,16276769300,5577.299805,4850.200195,4998.509766,4512.569824,4594.240234,1398836100,4594.240234,6789.100098,7024.600098,6329.5,6452.200195,4961102800,6452.200195,3207.169922,3305.77002,2920.870117,2958.209961,739832700,2958.209961
11602.910156,13445.110352,11551.360352,13291.160156,1828909000,13291.160156,5577.299805,6468.700195,5554.700195,6266.200195,23345270900,6266.200195,4614.950195,5612.759766,4581.859863,5518.549805,246374100,5518.549805,6481.399902,8199.900391,6396.299805,8076.899902,7630817100,8076.899902,2969.370117,3538.52002,2953.919922,3492.540039,1041773500,3492.540039
13371.660156,13903.110352,13009.480469,13718.780273,1360090900,13718.780273,6266.200195,6676.600098,6263.600098,6460.5,16921847100,6460.5,5542.459961,5625.600098,5306.580078,5551.410156,709171000,5551.410156,8112.700195,8322.900391,7663.5,8073.700195,4869546400,8073.700195,3499.280029,3603.169922,3401.139893,3552.639893,721302100,3552.639893
13890.219727,14131.519531,13310.950195,13432.870117,1557733500,13432.870117,6460.5,6903.600098,6397.200195,6407.5,15274136000,6407.5,5614.040039,5721.890137,5379.220215,5399.209961,1890232300,5399.209961,8191.799805,8439.700195,7713.5,7757.5,4068253200,7757.5,3565.679932,3657.830078,3473.76001,3481.439941,737416800,3481.439941
13559.94043,14169.490234,13518.450195,13786.290039,1438588300,13786.290039,6407.5,6799.899902,6407.5,6483.399902,16966878000,6483.399902,5441.430176,5834.359863,5429.779785,5703.220215,1653472600,5703.220215,7823,8387,7779.799805,8225,4223921700,8225,3492.860107,3742.530029,3492.860107,3636.439941,768062000,3636.439941
13962.429688,15029.700195,13868.200195,15008.339844,1794389200,15008.339844,6483.399902,6812.799805,6483.399902,6713.600098,17975344300,6713.600098,5770.890137,6097.740234,5755.600098,6067.22998,1790816900,6067.22998,8324.599609,8740.099609,8239.700195,8580,4963591400,8580,3658.120117,3929.48999,3656.209961,3919.209961,754728700,3919.209961
15053.769531,15501.839844,15032.519531,15135.910156,1320674600,15135.910156,6713.600098,7040.299805,6713.600098,6969.799805,13581435700,6969.799805,6079.669922,6352.359863,6063.859863,6269.47998,1131002300,6269.47998,8595.599609,8869.900391,8426.200195,8815,3439180000,8815,3922.360107,4040.879883,3922.360107,3974.73999,520876300,3974.73999
15191.790039,15568.599609,14816.349609,15421.129883,1439213800,15421.129883,6969.799805,7164.200195,6823.600098,7022.600098,14313218800,7022.600098,6285.509766,6496.319824,6150.430176,6447.169922,1406929000,6447.169922,8821.599609,9254.700195,8796.299805,9148.900391,3817060300,9148.900391,3979.5,4075.870117,3857.76001,4039.459961,603718000,4039.459961
15513.129883,15802.669922,15309.44043,15531.040039,1226514500,15531.040039,7022.600098,7217.5,6948.600098,7037.5,14962106000,7037.5,6470.419922,6687.290039,6464.709961,6507.830078,1498795900,6507.830078,9167.299805,9310.799805,8765.299805,8821.200195,3474504900,8821.200195,4044.070068,4165.589844,4044.070068,4064.300049,554875600,4064.300049
15624.280273,15810.679688,15048.55957,15544.389648,1205377400,15544.389648,7037.5,7170.600098,6813,7032.299805,13589817000,7032.299805,6549.819824,6671.120117,6253.25,6612.759766,1235050200,6612.759766,8862.299805,8968.099609,8252.200195,8675.700195,3228649700,8675.700195,4068.199951,4128.810059,3904.780029,4089.300049,519795000,4089.300049
15631.700195,16030.330078,15492.580078,15835.089844,1034321500,15835.089844,7032.299805,7224.5,6993.100098,7119.700195,12393989800,7119.700195,6657.950195,6913.669922,6560.740234,6680.180176,1307673500,6680.180176,8723.299805,9015.700195,8723.299805,8846.599609,2486258000,8846.599609,4095.5,4242.259766,4082.070068,4196.410156,474025600,4196.410156
15958.410156,15981.700195,15019.490234,15260.69043,1337021100,15260.69043,7119.700195,7195.600098,6828.299805,7086.399902,15689089900,7086.399902,6736.439941,6784.660156,6389.620117,6520.009766,1895499000,6520.009766,8923.700195,9055.5,8551.200195,8796.299805,3918300700,8796.299805,4207,4252.779785,4011.48999,4048.080078,694952300,4048.080078
15041.599609,15781,14818.709961,15688.769531,1349471100,15688.769531,7086.399902,7281.200195,6945.5,7237.600098,15426029100,7237.600098,6421.100098,6830.339844,6412.700195,6830.339844,1580696700,6830.339844,8693.400391,9057.700195,8654.799805,9057.700195,3503237100,9057.700195,4037.159912,4250.680176,3965.870117,4250.560059,678854900,4250.560059
15764.549805,16290.19043,15015.419922,15100.129883,1635891100,15100.129883,7237.600098,7402.700195,6989.700195,7059.5,18456189400,7059.5,6870.279785,7183.080078,6655.859863,6721.160156,1852987900,6721.160156,9064.599609,9198.099609,8260.700195,8305.099609,4211864700,8305.099609,4256.930176,4415.22998,4027.429932,4063.060059,720063900,4063.060059
15233.370117,15974.790039,15060.099609,15884.860352,1354128600,15884.860352,7059.5,7457.100098,7059.399902,7384.5,14564393900,7384.5,6774.799805,7201.649902,6730.629883,7153.029785,1611308500,7153.029785,8357.099609,8728,8082.399902,8713.799805,3337560800,8713.799805,4080.850098,4319.689941,4046.689941,4298.410156,623994800,4298.410156
15947.44043,16285.349609,14952.669922,15471.200195,1662241200,15471.200195,7384.5,7619,7283.399902,7464.399902,17923915900,7464.399902,7197.399902,7384.859863,6754.240234,6999.200195,1499396000,6999.200195,8729.700195,8866.599609,8361.400391,8612.799805,3894738700,8612.799805,4303.939941,4395.779785,4035.280029,4174.600098,709830000,4174.600098
15620.55957,15736.519531,13807.280273,14461.019531,1996573700,14461.019531,7464.399902,7687.299805,7204.700195,7458.299805,19718352900,7458.299805,7052.299805,7169.629883,6432.890137,6658.830078,1777814500,6658.830078,8679.900391,8912.200195,8048,8479.200195,5219313000,8479.200195,4184.629883,4259.279785,3765.419922,3924.22998,901932100,3924.22998
14404.219727,14925.25,12438.849609,14414.75,2772366100,14414.75,7458.299805,7595.399902,6788,7515.700195,27754790700,7515.700195,6646.160156,6829.399902,5756.379883,6659.870117,2934718800,6659.870117,8462.099609,8621,7287.700195,8445.099609,6306474100,8445.099609,3920.030029,4024.889893,3387,3902.52002,1184519700,3902.52002
14447.780273,14603.44043,13566.200195,14097.879883,1651641200,14097.879883,7515.700195,7669.600098,7339.5,7544.600098,17374689400,7544.600098,6672.97998,6757.75,6338.609863,6533.77002,1549959400,6533.77002,8481.700195,8877.700195,8344.900391,8584.200195,3824235500,8584.200195,3906.570068,3969.040039,3675.540039,3802.860107,640220200,3802.860107
13996.820313,14589.450195,13380.669922,14388.349609,1803058400,14388.349609,7544.600098,7648.299805,7158.5,7607.700195,20011498100,7607.700195,6469.310059,6582.049805,6086.02002,6468.799805,1952982700,6468.799805,8516.599609,8992.700195,8134.5,8851.5,4214537400,8851.5,3772.909912,3852.679932,3526.860107,3789.209961,738884000,3789.209961
14478.370117,14709.379883,12618.679688,12783.769531,1720357100,12783.769531,7607.700195,7646.700195,6998.200195,7169.299805,17794709200,7169.299805,6509.189941,6593.149902,5830.870117,5922.859863,1761847100,5922.859863,8881.299805,8909.299805,7994.200195,8098.700195,3867964300,8098.700195,3800.100098,3857.27002,3411.830078,3454.860107,767311200,3454.860107
12627.660156,13515.030273,12390.950195,13484.049805,1515787000,13484.049805,7169.299805,7441.200195,7007.100098,7423.399902,16880458400,7423.399902,5875.600098,6472.27002,5786.5,6448.5,1588082500,6448.5,8043,8240.400391,7764.899902,8156.200195,3983329600,8156.200195,3450.620117,3720.159912,3357.060059,3708.100098,765413100,3708.100098
13471.200195,13947.849609,12758.44043,12834.959961,1314537200,12834.959961,7446,7578.899902,7263.600098,7284.200195,14748978900,7284.200195,6447.180176,6608.830078,6125.100098,6125.100098,1480950600,6125.100098,8161.899902,8540,7866.600098,7886.100098,2889518400,7886.100098,3705.76001,3819.120117,3517.25,3517.25,638112100,3517.25
12713.75,13564.830078,11862.839844,12114.360352,1606290400,12114.360352,7284.200195,7514,6829.299805,6893.799805,21881336000,6893.799805,6068.339844,6394.180176,5628.419922,5762.339844,1789764900,5762.339844,7838.799805,8235.799805,7242.200195,7366.799805,3929696800,7366.799805,3514.48999,3683.02002,3249.570068,3318.199951,767976100,3318.199951
11951.839844,13307.089844,11893.94043,13253.740234,1403077100,13253.740234,6893.799805,7132.899902,6707.600098,7094.5,18562316200,7094.5,5697.470215,6293.149902,5654.439941,6266.77002,1530909300,6266.77002,7327.5,7958.100098,7189.600098,7956.5,3431533600,7956.5,3309.02002,3631.22998,3256.320068,3617.540039,646423100,3617.540039
13344.849609,14571.660156,13022.639648,14397.040039,1461310400,14397.040039,7094.5,7599.299805,7076.5,7573.100098,17021630000,7573.100098,6329.759766,6743.600098,6191.72998,6738.549805,1663727000,6738.549805,8011.799805,8425.5,7798.399902,8363.200195,3725644100,8363.200195,3628.600098,3976.429932,3563.419922,3964.719971,718948800,3964.719971
14543.799805,14675.839844,13791.519531,13923.589844,1127793700,13923.589844,7573.100098,7599.700195,7302.799805,7451.700195,12559415600,7451.700195,6784.600098,6823.100098,6388.22998,6473.759766,1448945200,6473.759766,8423.099609,8469,8059.5,8229.099609,3162620000,8229.099609,3970.679932,4035.149902,3767.26001,3793.620117,558502100,3793.620117
13992.709961,15269.709961,13976.44043,15128.269531,1263845700,15128.269531,7451.700195,7875.600098,7448.700195,7771.700195,17366687200,7771.700195,6521.069824,7117.529785,6518.209961,7082.419922,1456704600,7082.419922,8297.900391,9082.799805,8283.700195,9034,3959571100,9034,3802.51001,4197.470215,3802.51001,4163.450195,663434600,4163.450195
