"Date","MSFT.Open","MSFT.High","MSFT.Low","MSFT.Close","MSFT.Volume","MSFT.Adjusted","dn","mavg","up"
2021-10-29,324.130005,332,323.899994,331.619995,34766000,327.122192,280.247945388379,303.7296661,327.211386811622
2021-11-01,331.359985,331.48999,326.369995,329.369995,27073200,324.90271,281.934106238304,305.998332683333,330.062559128363
2021-11-02,330.309998,333.450012,330,333.130005,26487100,328.611694,283.124134787276,308.221166433333,333.31819807939
2021-11-03,333.899994,334.899994,330.649994,334,21500100,329.46991,284.353821624443,310.3428329,336.331844175558
2021-11-04,332.890015,336.540009,329.51001,336.440002,23992200,331.876801,285.323148444836,312.294166016667,339.265183588497
2021-11-05,338.51001,338.790009,334.420013,336.059998,22570100,331.501984,286.656531525649,314.361165833334,342.065800141018
2021-11-08,337.299988,337.649994,334.440002,336.98999,20897000,332.419373,288.643020915496,316.429998733333,344.216976551171
2021-11-09,337.109985,338.720001,334.529999,335.950012,21307400,331.393494,291.574331726273,318.572165383334,345.569999040394
2021-11-10,334.570007,334.630005,329.920013,330.799988,25500900,326.313324,294.958622737541,320.3766657,345.794708662459
2021-11-11,331.25,333.769989,330.51001,332.429993,16849800,327.921173,297.599107064821,321.924332633334,346.249558201846
2021-11-12,333.920013,337.230011,333.790009,336.720001,23831000,332.153015,300.138619226406,323.566999783333,346.995380340261
2021-11-15,337.540009,337.880005,334.029999,336.070007,16723000,331.511841,302.490549907297,325.063499933333,347.63644995937
2021-11-16,335.679993,340.670013,335.51001,339.51001,20886800,334.905212,304.664343669204,326.57916715,348.493990630796
2021-11-17,338.940002,342.190002,338,339.119995,19053400,335.132477,307.3523918845,328.180667083334,349.008942282167
2021-11-18,338.179993,342.450012,337.119995,341.269989,22463500,337.257202,310.158995272609,329.725667283334,349.292339294058
2021-11-19,342.640015,345.100006,342.200012,343.109985,21963400,339.075562,313.377287123666,331.431667533333,349.486047943001
2021-11-22,344.619995,349.670013,339.549988,339.829987,31031100,335.834137,317.993882607159,333.1826675,348.371452392841
2021-11-23,337.049988,339.450012,333.559998,337.679993,30427600,333.709412,323.448363854112,334.509001133334,345.569638412555
2021-11-24,336.279999,338.160004,333.910004,337.910004,21661300,333.936707,325.845788844448,335.254167683334,344.662546522219
2021-11-26,334.350006,337.929993,328.119995,329.679993,24217200,325.803467,327.764819112867,335.673334266667,343.581849420466
2021-11-29,334.940002,339.029999,334.73999,336.630005,28563500,332.671753,328.722081951628,336.054667683333,343.387253415039
2021-11-30,335.320007,337.779999,328.98999,330.589996,42885600,326.702789,329.403808628964,336.2235011,343.043193571037
2021-12-01,335.130005,339.279999,329.390015,330.079987,33337600,326.198792,329.518631792626,336.2596675,343.000703207374
2021-12-02,330.299988,333.48999,327.799988,329.48999,30766000,325.615723,328.995736837296,336.1135005,343.231264162704
2021-12-03,331.98999,332.700012,318.029999,323.01001,41779300,319.211914,326.940207867596,335.634333833334,344.328459799071
2021-12-06,323.950012,327.450012,319.230011,326.190002,30032600,322.354523,325.04118203254,335.02766725,345.014152467461
2021-12-07,331.640015,335.799988,330.100006,334.920013,31021900,330.981873,324.904866656793,334.890000933334,344.875135209874
2021-12-08,335.309998,335.5,330.799988,334.970001,24761000,331.031281,324.786178899025,334.757833883334,344.729488867642
2021-12-09,334.410004,336.48999,332.119995,333.100006,22214200,329.183258,324.976191534396,334.863833633334,344.751475732271
2021-12-10,334.980011,343,334.790009,342.540009,38095700,338.512299,325.194219361043,335.257500733334,345.320782105624
2021-12-13,340.679993,343.790009,339.079987,339.399994,28899400,335.40921,325.155722425578,335.499666883334,345.843611341089
2021-12-14,333.220001,334.640015,324.109985,328.339996,44438700,324.479248,324.435395941994,335.151499966667,345.86760399134
2021-12-15,328.609985,335.190002,324.5,334.649994,35381100,330.715027,324.083736321074,334.795666016667,345.50759571226
2021-12-16,335.709991,336.76001,323.019989,324.899994,35034800,321.079681,323.397477568709,334.218499283333,345.039520997958
2021-12-17,320.880005,324.920013,317.25,323.799988,47750300,319.992615,321.628891105189,333.303999366667,344.979107628145
2021-12-20,320.049988,322.799988,317.570007,319.910004,28326500,316.148346,320.090321003866,332.135165966667,344.180010929467
2021-12-21,323.290009,327.730011,319.799988,327.290009,24740600,323.44162,319.896284898544,331.231332966667,342.56638103479
