"Date","UNH.Open","UNH.High","UNH.Low","UNH.Close","UNH.Volume","UNH.Adjusted","dn","mavg","up"
2019-06-13,244.820007,245.339996,243.119995,244.960007,3107800,230.803772,237.03588812355,243.906166533333,250.776444943116
2019-06-14,244.720001,246.100006,242.789993,245.369995,2165500,232.213852,238.014521818598,244.261166583333,250.507811348069
2019-06-17,246,247.100006,245.220001,245.970001,2270300,232.781708,238.628240621007,244.574833366667,250.521426112326
2019-06-18,247.5,249.339996,245.149994,245.699997,3482500,232.526169,238.68703044901,244.702999583333,250.718968717657
2019-06-19,246,251.369995,245.509995,250.190002,4204600,236.775436,238.715108260349,244.688832816667,250.662557372984
2019-06-20,251.600006,252.820007,247.399994,247.759995,3800800,234.475723,238.756369499117,244.670499383333,250.584629267549
2019-06-21,248.779999,253.490005,246.899994,252.279999,6323500,238.753357,238.421166809174,244.897666133333,251.374165457493
2019-06-24,251.330002,252.630005,247.860001,249.639999,3163800,236.254944,238.255674060511,245.024832866667,251.793991672822
2019-06-25,249.300003,251.039993,247.419998,247.660004,3182700,234.381088,238.289138199869,245.237832833333,252.186527466797
2019-06-26,248,248.080002,243.130005,243.470001,3852900,230.415787,238.736921513606,245.42699985,252.117078186394
2019-06-27,244.259995,248.149994,243.160004,246.339996,3366200,233.131836,238.924681495294,245.55133305,252.177984604706
2019-06-28,246.5,246.75,238.649994,244.009995,6727600,230.926804,239.146847669979,245.626499633333,252.106151596687
2019-07-01,245.949997,246.169998,240.720001,242.639999,4102700,229.630234,240.044316095242,245.845666183333,251.647016271425
2019-07-02,242.589996,243.990005,239.539993,243.970001,3863500,230.888916,240.921843478134,246.026666166667,251.131488855199
2019-07-03,244.320007,247.520004,244.039993,245.210007,2559400,232.062454,241.191635051273,246.142999683333,251.094364315394
2019-07-05,244.389999,248.759995,244.059998,246.990005,2965000,233.747025,241.686723775624,246.3483329,251.009942024376
2019-07-08,246.410004,247.979996,244.880005,247.839996,1902500,234.551437,241.78232793151,246.426165966667,251.070004001824
2019-07-09,244.630005,246.080002,243.690002,246,2774800,232.810104,241.675751649217,246.292332666667,250.908913684117
2019-07-10,246.820007,249.110001,245.479996,247.479996,2753000,234.210739,241.675589958811,246.288666,250.901742041189
2019-07-11,255.800003,261.690002,249.050003,261.160004,10268800,247.157272,240.360362169846,246.931999433333,253.503636696821
2019-07-12,261.630005,266.519989,261.630005,265.899994,5336100,251.643082,237.896857880472,247.942499266667,257.988140652861
2019-07-15,265.059998,267.649994,264.25,265.959991,2611400,251.699875,236.382501238523,249.002499116667,261.622496994811
2019-07-16,265.329987,267.140015,263.190002,264.660004,3121600,250.469574,235.623875512261,249.947499333333,264.271123154406
2019-07-17,264,268.690002,263.5,266.649994,3995200,252.35289,235.030855463593,250.924999483333,266.819143503074
2019-07-18,265.640015,266.51001,257.26001,260.600006,5825800,246.627289,235.037944661084,251.546666716667,268.05538877225
2019-07-19,261.100006,262.720001,256.399994,256.649994,4413200,242.889069,235.258241459148,252.009833266667,268.761425074186
2019-07-22,258.140015,258.950012,254.529999,255.320007,4104300,241.630386,235.435268444542,252.278666933333,269.122065422125
2019-07-23,254.470001,256.100006,252.020004,255.009995,2889300,241.33699,235.661044928396,252.4953336,269.329622271604
2019-07-24,252.789993,252.830002,245.130005,251.130005,4864000,237.66507,235.749621027955,252.544833883333,269.340046738711
2019-07-25,251.130005,252.75,248.289993,248.699997,3362800,235.365326,236.318483977716,252.795833583333,269.27318318895
2019-07-26,249.020004,253.880005,246.509995,252.940002,3362600,239.377991,236.863287392677,253.05716705,269.251046707323
2019-07-29,252.839996,255.300003,252.339996,253.820007,2005500,240.2108,238.049985784837,253.591334,269.132682215163
2019-07-30,252.660004,255.059998,250.470001,254.929993,1908800,241.261322,239.315631345472,254.1068339,268.898036454528
2019-07-31,256.320007,257.160004,248.479996,249.009995,3532400,235.658691,240.691226187032,254.559333833333,268.427441479634
2019-08-01,249.190002,251.580002,247.279999,249.25,3613600,235.885864,241.276972415575,254.748333783333,268.219695151091
2019-08-02,249.690002,251.570007,246.100006,250.050003,2677600,236.64296,241.681372604347,254.880167416667,268.078962228987
2019-08-05,248.130005,249.940002,242.589996,245.059998,5812400,231.920471,241.497111905604,254.828334066667,268.15955622773
2019-08-06,245.929993,248.279999,243.570007,248.279999,3533000,234.967865,241.764849546045,254.90100075,268.037151953955
2019-08-07,246.270004,247.039993,241.259995,246.449997,3205800,233.235947,241.3234093879,254.779000616667,268.234591845433
2019-08-08,246.190002,247.669998,243.369995,247.619995,2830700,234.343231,240.32516245586,254.225000266667,268.124838077473
2019-08-09,247.720001,250.419998,246.139999,248.630005,2535000,235.299103,240.164101530294,253.410667166667,266.657232803039
2019-08-12,246.789993,247.960007,243.029999,243.199997,2667400,230.160217,239.916708349436,252.3495008,264.782293250564
2019-08-13,241.679993,250.460007,241.509995,249.220001,2763400,235.857437,240.27442623649,251.452833833333,262.631241430176
2019-08-14,246.729996,248.410004,243.009995,243.199997,3464300,230.160217,241.15952114952,250.3825005,259.60547985048
2019-08-15,244.350006,245.259995,241.449997,244.25,2513500,231.1539,241.342325109155,249.492333266667,257.642341424178
2019-08-16,245.380005,247.110001,244.179993,245.690002,2810000,232.516754,241.694983950346,248.845833383333,255.996682816321
2019-08-19,247.490005,248.490005,244.089996,244.710007,2672300,231.589264,241.923946008053,248.32066655,254.717387091947
2019-08-20,244.210007,244.600006,239.919998,240.160004,3201300,227.283234,241.270336545988,247.679833266667,254.089329987345
2019-08-21,240.190002,241.889999,239.300003,240.350006,2761900,227.463043,240.171090528253,247.220666533333,254.270242538414
2019-08-22,240.350006,240.350006,232.669998,232.940002,4498200,220.450317,237.863025539705,246.491000133333,255.118974726961
2019-08-23,232.899994,235.100006,229.380005,230.660004,4826600,218.292587,235.028861981013,245.521167016667,256.013472052321
2019-08-26,232.520004,234.559998,230.460007,231.080002,2918300,218.690063,233.120243928836,244.4318337,255.743423471164
2019-08-27,231.720001,232.399994,222.600006,222.929993,4988100,210.977036,229.93746458657,243.056333716667,256.175202846764
2019-08-28,222.419998,229.770004,220.779999,227.350006,4847600,215.16008,227.301583842925,241.777167283333,256.252750723742
2019-08-29,228.419998,232.300003,228.009995,230.619995,4052500,218.2547,225.968910437908,240.82416715,255.679423862092
2019-08-30,233.669998,235.050003,232.289993,234,3384100,221.453506,225.420810382884,240.051166816667,254.681523250449
2019-09-03,231.740005,232.169998,228.470001,230.619995,3382300,218.2547,224.330488703803,239.279000116667,254.22751152953
2019-09-04,231.949997,232.949997,226.5,226.729996,4526100,214.573273,223.166339550863,238.37983325,253.593326949137
2019-09-05,230,231.509995,227.580002,229.589996,4256900,217.279953,222.246324209503,237.61200005,252.977675890497
2019-09-06,230.169998,231.960007,228.589996,229,4183200,216.721588,221.606188698942,236.7935003,251.980811901058
2019-09-09,229,232,228.559998,230.679993,3895600,218.311508,221.450128858155,235.89433345,250.338538041846
2019-09-10,231.449997,234.289993,230.830002,232.460007,4257600,219.996063,221.362950455973,235.284166766667,249.205383077361
