N225.Open,N225.High,N225.Low,N225.Close,N225.Volume,N225.Adjusted,HSI.Open,HSI.High,HSI.Low,HSI.Close,HSI.Volume,HSI.Adjusted,BSESN.Open,BSESN.High,BSESN.Low,BSESN.Close,BSESN.Volume,BSESN.Adjusted,NSEI.Open,NSEI.High,NSEI.Low,NSEI.Close,NSEI.Volume,NSEI.Adjusted,AORD.Open,AORD.High,AORD.Low,AORD.Close,AORD.Volume,AORD.Adjusted
13837.719727,15942.599609,13555.660156,13774.540039,7190600000,13774.540039,22692.330078,23512.419922,22290.720703,22392.160156,34131693700,22392.160156,19459.330078,20443.619141,19451.259766,19760.300781,198000,19760.300781,5911.399902,6229.450195,5910.950195,5985.950195,3077100,5985.950195,5165.299805,5229.799805,4885.399902,4914,22302054000,4914
13551.360352,13724.44043,12415.849609,13677.320313,4755100000,13677.320313,22301.679688,22564.179688,19426.359375,20803.289063,43148726200,20803.289063,19859.220703,19860.189453,18467.160156,19395.810547,197600,19395.810547,5997.350098,6011,5566.25,5842.200195,2981700,5842.200195,4914,4915,4610.600098,4775.399902,20223371000,4775.399902
13746.719727,14953.290039,13562.700195,13668.320313,4145700000,13668.320313,21004.560547,22070.140625,20119.560547,21883.660156,33308641600,21883.660156,19352.480469,20351.060547,19126.820313,19345.699219,214900,19345.699219,5834.100098,6093.350098,5675.75,5742,3519500,5742,4775.399902,5077.299805,4682.399902,5035.700195,19536461200,5035.700195
13674.5,14466.160156,13188.139648,13388.860352,3158800000,13388.860352,22025.75,22695.990234,21465.720703,21731.369141,31016927300,21731.369141,19443.289063,19569.199219,17448.710938,18619.720703,304800,18619.720703,5776.899902,5808.5,5118.850098,5471.799805,5011800,5471.799805,5035.700195,5151.600098,4993.200195,5125.299805,20221716000,5125.299805
13438.070313,14817.5,13407.530273,14455.799805,2908600000,14455.799805,21948.720703,23554.339844,21948.720703,22859.859375,36578097600,22859.859375,18691.830078,20739.689453,18166.169922,19379.769531,264600,19379.769531,5480.25,6142.5,5318.899902,5735.299805,4485900,5735.299805,5125.299805,5307.700195,5113.799805,5217.700195,19353225300,5217.700195
14517.980469,14799.280273,13748.94043,14327.94043,3095600000,14327.94043,22997.210938,23534.669922,22640.179688,23206.369141,28707389800,23206.369141,19452.050781,21205.439453,19264.720703,21164.519531,235400,21164.519531,5756.100098,6309.049805,5700.950195,6299.149902,3840600,6299.149902,5217.700195,5453.100098,5118,5420.299805,18001101200,5420.299805
14403.070313,15729.089844,14026.169922,15661.870117,3175900000,15661.870117,23208.800781,24014.810547,22463.400391,23881.289063,33822297200,23881.289063,21158.810547,21293.880859,20137.669922,20791.929688,193300,20791.929688,6289.75,6332.600098,5972.450195,6176.100098,3008100,6176.100098,5420.299805,5432.399902,5282,5314.299805,16628108200,5314.299805
15659.740234,16320.219727,15112.540039,16291.30957,3151000000,16291.30957,23936.150391,24111.550781,22713.699219,23306.390625,27164907400,23306.390625,20771.269531,21483.740234,20568.699219,21170.679688,198500,21170.679688,6171.149902,6415.25,6129.950195,6304,3616400,6304,5314.299805,5367.799805,5037.399902,5353.100098,15731190700,5353.100098
16147.540039,16164.009766,14764.570313,14914.530273,3734900000,14914.530273,23452.759766,23469.330078,21746.230469,22035.419922,35121934700,22035.419922,21222.189453,21409.660156,20343.779297,20513.849609,204900,20513.849609,6301.25,6358.299805,6027.25,6089.5,3280800,6089.5,5353.100098,5383.399902,5174.399902,5205.100098,14523849900,5205.100098
14788.55957,15094.540039,13995.860352,14841.070313,3390300000,14841.070313,21561.699219,22986.699219,21197.779297,22836.960938,32344157800,22836.960938,20479.029297,21140.509766,19963.119141,21120.119141,166300,21120.119141,6058.799805,6282.700195,5933.299805,6276.950195,2688200,6276.950195,5205.100098,5471.799805,5072.700195,5415.399902,20014581500,5415.399902
